Name,Year,id,thumbnail,URL,thematic tags,people,work type
The Curse of Dimensionality,2025,curse,tags/Curse-of-Dimensionality.jpg,https://vimeo.com/1084762935,"archival patterns, data-terrain, spatial omissions, trained vision","Adam Vosburgh, CSR, Center for Spatial Research, Jia Zhang, La Biennale Di Venezia, Laura Kurgan, Michael Krisch","data vis, exhibited, video"
Atlas of Uncertainty,2024,atlas,tags/01_globe-all-paths.png,../projects/atlas.html,"archival patterns, care-economies, data-terrain, informal-support-networks, kinship-geographies, mutual support, spatial-histories","CSR, Center for Spatial Research, Laura Kurgan, The African Centre for Migration & Society, University of Wits","exhibited, interactive site, published"
Methods in Spatial Research,2024,methodsworkshop,tags/methods.png,https://centerforspatialresearch.github.io/methods-tools-in-spatial-research/,"data-terrain, mutual support, tool-sharing","CSR, Center for Spatial Research, Laura Kurgan","interactive site, published"
Poultry Reform,2023,poultry,tags/230329_false_positive_deteriorated_barns.jpg,../projects/poultry.html,"community-economy, data-terrain, local labor, soil futures, spatial omissions, trained vision, wild-urban interface","CSR, Center for Spatial Research, Guangyu Tim Wu, James Clinton-Francis","exhibited, paper"
Rebuilding Paradise,2022,paradise,tags/Interface.jpg,https://adelinechum.github.io/rebuildingParadiseInterface/,"adaptive forms, community-economy, data-terrain, local labor, material legacies, resource cycles, soil futures, speculative-ecologies, trained vision, wild-urban interface","Adam Vosburgh, David Benjamin, GSAPP",interactive site
What it takes to grow our buildings: Consequences of mass timber production on forestry and land management in Sweden,2022,kinne,,../projects/kinne.txt,"resource cycles, soil futures, wild-urban interface",GSAPP,"award, idea"
Refactoring Farming,2021,refactor,tags/Refactor.gif,../projects/Refactoring.html,"adaptive forms, bio-based making, local labor, resource cycles, soft thresholds, soil futures, speculative-ecologies","David Benjamin, GSAPP","drawing, physical model"
Safe Space,2021,safespace,tags/SafeSpace.jpg,../projects/SafeSpace.html,"adaptive forms, community-economy, local labor, mutual support, neighborhood repair, resource cycles, soft thresholds, soil futures, wild-urban interface","Aditi Shetye, GSAPP, Phu Hoang","drawing, video"
36 Years of Housing,2021,36housing,tags/Housing.gif,https://adelinechum.github.io/36YearsOfHousing/,"archival patterns, data-terrain, material legacies","Adam Vosburgh, GSAPP, Jia Zhang, Jonathan Chester","interactive site, published"
Nestled Pillows,2021,pillow,tags/Pillow.jpg,../projects/Pillow.html,"adaptive forms, soft thresholds, tactile patterning","GSAPP, Josh Jordan",physical model
Units of Care,2020,care,tags/Care.jpg,../projects/Care.html,"adaptive forms, community-economy, everyday infrastructure, interior-atmospheres, neighborhood repair, soft thresholds","GSAPP, Hilary Sample, Max Goldner",drawing
Wetlands School,2020,wetlands,tags/Wetlands.jpg,../projects/Wetlands.html,"adaptive forms, interior-atmospheres, neighborhood repair, soft thresholds, soil futures, wild-urban interface","Erica Goetz, GSAPP",drawing
Flatten the Curve,2020,flatten,tags/Fingerprint.gif,https://centerforspatialresearch.github.io/summer2020_covidpolicies/,"archival patterns, data-terrain, everyday infrastructure, spatial omissions, trained vision","CSR, Center for Spatial Research, GSAPP, Spencer Krut","exhibited, interactive site, published"
Steroid Plants,2020,steroid,tags/SteroidPlant.gif,../projects/SteroidPlants.html,speculative-ecologies,"Anays Gonzalez, Benjamin Diller-Schatz, GSAPP, Josh Jordan",video
Quilted,2019,quilt,tags/Quilt.jpg,../projects/Quilt.html,"everyday infrastructure, neighborhood repair, tactile patterning","Alessandro Orsini, GSAPP","award, drawing, physical model"
MoMA Embodied Energy,2019,moma,tags/MoMa.gif,../projects/Moma.html,"archival patterns, data-terrain, resource cycles","Adam Vosburgh, David Benjamin, GSAPP, MoMa, The Living","exhibited, video"
Furniture HQ,2019,furniture,tags/Furniture.jpg,../projects/Furniture.html,"archival patterns, soft thresholds, tactile patterning","GSAPP, archigram, michael webb","drawing, physical model, video"
Global Gaslinks,2019,gaslinks,tags/Gaslink.jpg,../projects/Gaslink.html,wild-urban interface,"GSAPP, Geneieve Mateyko, Laura Kurgan, Shuyang Bi",interactive site
