Year,Name,thematic tags,people,work type
2025,The Curse of Dimensionality,"archival patterns, data-terrain, spatial omissions, trained vision","Adam Vosburgh, Center for Spatial Research, Jia Zhang, Laura Kurgan, Michael","academic, data vis, exhibited, video"
2024,Atlas of Uncertainty,"archival patterns, care-economies, data-terrain, informal-support-networks, kinship-geographies, mutual support, spatial-histories","ACMS, Center for Spatial Research, Laura Kurgan, Wits","academic, exhibited, interactive site, published"
2024,Methods in Spatial Research,"data-terrain, mutual support, tool-sharing","Center for Spatial Research, Laura Kurgan","interactive site, professional, published"
2023,Poultry Reform,"community-economy, data-terrain, local labor, soil futures, spatial omissions, trained vision, wild-urban interface","Center for Spatial Research, James, Tim Wu","academic, exhibited, paper, professional"
2022,Rebuilding Paradise,"adaptive forms, community-economy, data-terrain, local labor, material legacies, resource cycles, soil futures, speculative-ecologies, trained vision, wild-urban interface","Adam Vosburgh, David Benjamin","academic, interactive site"
2022,Sustainable Forestry - Kinne Idea,"resource cycles, soil futures, wild-urban interface",Aditi Shetye,"academic, award, paper"
2021,Refactoring Farming,"adaptive forms, bio-based making, local labor, resource cycles, soft thresholds, soil futures, speculative-ecologies",David Benjamin,"academic, drawing, physical model"
2021,Safe Space,"adaptive forms, community-economy, local labor, mutual support, neighborhood repair, resource cycles, soft thresholds, soil futures, wild-urban interface","Aditi Shetye, Phu Hoang","academic, drawing, video"
2021,36 Years of Housing,"archival patterns, data-terrain, material legacies","Adam Vosburgh, Jia Zhang, Jonathan","academic, interactive site, published"
2021,Nestled Pillows,"adaptive forms, soft thresholds, tactile patterning",Josh Jordan,"academic, physical model"
2021,Mini Towers ?,"archival patterns, data-terrain, neighborhood repair","MODU, Phu Hoang","paper, professional"
2020,Units of Care,"adaptive forms, community-economy, everyday infrastructure, interior-atmospheres, neighborhood repair, soft thresholds","Hilary Sample, Max Goldner","academic, award, drawing"
2020,Wetlands School,"adaptive forms, interior-atmospheres, neighborhood repair, soft thresholds, soil futures, wild-urban interface",Erica Goetz,"academic, drawing"
2020,Flatten the Curve,"archival patterns, data-terrain, everyday infrastructure, spatial omissions, trained vision","Center for Spatial Research, Laura Kurgan, Spencer","academic, exhibited, interactive site, published"
2020,Steroid Plants,speculative-ecologies,"Anays, Ben, Josh Jordan","academic, video"
2020,BSN?,,Baird Sampson Neuert Architects,professional
2019,Quilted,"everyday infrastructure, neighborhood repair, tactile patterning",Alessandro Orsini,"academic, award, drawing, physical model"
2019,MoMA Embodied Energy,"archival patterns, data-terrain, resource cycles","Adam Vosburgh, David Benjamin, The Living","academic, exhibited, professional, video"
2019,Furniture HQ,"archival patterns, soft thresholds, tactile patterning","archigram, michael webb","academic, drawing, physical model, video"
2016,"CRAB Studio work? ",,"CRAB Studio, Gavin Robotham, Peter Cook, archigram",professional
2019,Global Gaslinks,wild-urban interface,"Geneieve, Laura Kurgan, Shuyang",interactive site
